moisture,temperature,ec,pH,nitrogen,phosphorous,potassium,growth_stages,urea_status,nps_status,urea_dose,nps_dose
,,,,,,,Vegetative,Balanced,Balanced,0.0,0.0
,,,,,,,Vegetative,Balanced,Balanced,0.0,0.0
56.7,21.1,0.924,7.2,21.6,9.0,4.8,Vegetative,Deficient,Balanced,4.209,0.0
76.6,24.1,0.828,7.7,12.6,16.8,3.0,Vegetative,Deficient,Balanced,4.114,0.0
81.2,18.0,0.193,4.7,10.2,9.0,0.6,Vegetative,Deficient,Balanced,3.57,0.0
47.6,27.4,0.729,7.3,24.0,1.8,3.6,Vegetative,Deficient,Deficient,0.397,4.868
64.1,20.6,0.765,5.3,9.0,10.2,6.0,Vegetative,Deficient,Balanced,9.359,0.0
49.0,17.5,0.595,5.0,28.2,12.0,4.2,Vegetative,Balanced,Balanced,0.0,0.0
57.4,20.8,0.137,8.1,28.8,13.8,5.4,Vegetative,Balanced,Balanced,0.0,0.0
71.5,25.9,0.949,5.7,17.4,5.4,4.8,Vegetative,Deficient,Balanced,7.772,0.0
57.8,22.8,0.21,3.0,9.6,6.0,5.4,Vegetative,Deficient,Balanced,0.014,0.0
45.4,19.8,0.959,3.4,21.0,5.4,4.2,Vegetative,Deficient,Balanced,0.02,0.0
46.8,19.8,0.06,6.1,27.0,7.8,1.2,Vegetative,Deficient,Balanced,1.062,0.0
81.7,16.1,0.412,4.0,28.8,7.2,3.6,Vegetative,Balanced,Balanced,0.0,0.0
81.9,19.9,0.947,4.5,15.6,11.4,3.0,Vegetative,Deficient,Balanced,1.148,0.0
67.1,18.1,0.772,7.3,28.8,7.2,3.6,Vegetative,Balanced,Balanced,0.0,0.0
78.3,20.5,0.689,5.8,23.4,12.6,1.8,Vegetative,Deficient,Balanced,4.033,0.0
81.7,21.0,0.48,4.8,10.2,5.4,0.6,Vegetative,Deficient,Balanced,4.019,0.0
78.1,16.5,0.535,6.4,6.0,12.6,4.8,Vegetative,Deficient,Balanced,28.862,0.0
70.6,19.9,0.484,8.3,4.2,16.8,1.2,Vegetative,Deficient,Balanced,1.175,0.0
81.9,26.2,0.699,5.2,4.2,17.4,3.0,Vegetative,Deficient,Balanced,10.366,0.0
72.6,27.1,0.623,7.6,7.2,17.4,4.2,Vegetative,Deficient,Balanced,7.709,0.0
55.2,26.9,0.298,3.1,3.0,7.8,3.6,Vegetative,Deficient,Balanced,0.029,0.0
51.9,18.6,0.04,6.3,12.0,15.0,4.2,Vegetative,Deficient,Balanced,24.155,0.0
72.0,15.2,0.608,9.0,12.0,14.4,3.6,Vegetative,Deficient,Balanced,0.035,0.0
74.8,17.8,0.898,7.0,22.8,12.0,2.4,Vegetative,Deficient,Balanced,4.381,0.0
46.8,23.9,0.547,4.1,4.2,16.2,4.8,Vegetative,Deficient,Balanced,0.894,0.0
50.4,17.3,0.725,3.7,22.8,3.0,5.4,Vegetative,Deficient,Deficient,0.045,0.009
51.6,25.1,,5.1,0.6,2.4,5.4,Vegetative,Deficient,Deficient,16.662,2.277
64.4,26.7,0.914,8.6,2.4,2.4,0.6,Vegetative,Deficient,Deficient,0.247,0.175
77.7,26.7,0.974,7.4,27.6,14.4,1.8,Vegetative,Deficient,Balanced,0.072,0.0
50.8,18.7,0.557,8.8,18.0,6.0,3.6,Vegetative,Deficient,Balanced,0.058,0.0
62.5,27.2,0.028,5.0,24.0,17.4,0.0,Vegetative,Deficient,Balanced,1.475,0.0
73.9,26.6,0.591,6.8,27.6,10.2,4.8,Vegetative,Deficient,Balanced,0.179,0.0
78.6,20.8,0.186,6.3,6.0,1.8,4.8,Vegetative,Deficient,Deficient,28.042,9.501
56.5,27.3,0.542,6.6,27.0,15.0,3.0,Vegetative,Deficient,Balanced,0.989,0.0
45.9,21.5,0.894,8.0,25.8,1.8,4.2,Vegetative,Balanced,Deficient,0.0,1.284
55.6,16.4,0.616,8.3,0.0,1.8,1.2,Vegetative,Deficient,Deficient,1.039,0.669
71.8,16.8,0.622,4.0,16.8,8.4,3.0,Vegetative,Deficient,Balanced,0.298,0.0
54.1,24.7,0.004,5.9,6.0,1.8,6.0,Vegetative,Deficient,Deficient,24.428,7.798
45.4,25.9,0.985,7.1,10.2,1.2,0.0,Vegetative,Deficient,Deficient,10.521,6.755
52.1,18.0,0.087,8.5,9.6,18.0,1.8,Vegetative,Deficient,Balanced,0.475,0.0
51.4,17.0,0.54,8.9,3.6,4.2,2.4,Vegetative,Deficient,Balanced,0.09,0.0
48.9,23.3,0.815,5.8,1.8,8.4,0.0,Vegetative,Deficient,Balanced,22.767,0.0
64.8,22.6,0.238,8.2,16.2,3.6,4.2,Vegetative,Deficient,Deficient,0.8,0.235
63.4,21.9,0.277,8.3,4.2,16.8,4.2,Vegetative,Deficient,Balanced,1.264,0.0
72.9,21.9,0.962,6.4,26.4,12.6,2.4,Vegetative,Deficient,Balanced,1.486,0.0
52.1,20.9,0.461,4.2,19.8,5.4,4.8,Vegetative,Deficient,Balanced,0.417,0.0
48.5,22.5,0.011,3.2,21.0,15.6,4.2,Vegetative,Deficient,Balanced,0.013,0.0
56.7,27.2,0.442,3.1,19.8,18.0,1.2,Vegetative,Deficient,Balanced,0.009,0.0
56.9,17.3,0.686,3.4,8.4,12.0,0.6,Vegetative,Deficient,Balanced,0.064,0.0
61.2,19.8,0.458,7.6,12.6,8.4,0.0,Vegetative,Deficient,Balanced,6.058,0.0
80.9,17.2,0.502,4.7,28.2,1.2,4.2,Vegetative,Balanced,Deficient,0.0,0.879
77.8,17.9,0.028,6.6,6.0,6.6,0.6,Vegetative,Deficient,Balanced,33.956,0.0
49.7,20.2,0.583,4.2,27.0,5.4,0.6,Vegetative,Deficient,Balanced,0.038,0.0
53.2,22.5,0.134,5.9,18.0,13.8,3.6,Vegetative,Deficient,Balanced,11.947,0.0
46.3,18.7,0.865,8.7,24.6,7.2,3.6,Vegetative,Deficient,Balanced,0.026,0.0
79.4,28.2,0.551,5.6,18.6,11.4,5.4,Vegetative,Deficient,Balanced,7.364,0.0
75.7,18.6,0.493,7.7,12.0,0.6,4.8,Vegetative,Deficient,Deficient,3.127,4.332
76.8,16.5,0.415,8.4,9.6,12.6,3.0,Vegetative,Deficient,Balanced,0.637,0.0
57.2,18.5,0.437,4.3,6.6,9.0,1.8,Vegetative,Deficient,Balanced,1.477,0.0
69.8,18.5,0.556,4.6,30.0,6.0,4.2,Vegetative,Balanced,Balanced,0.0,0.0
68.4,26.3,0.962,3.4,20.4,0.6,3.0,Vegetative,Deficient,Deficient,0.019,0.006
59.6,17.7,0.305,8.8,23.4,10.2,3.0,Vegetative,Deficient,Balanced,0.029,0.0
60.6,22.7,0.181,5.9,4.2,0.0,3.6,Vegetative,Deficient,Deficient,23.041,13.097
48.3,15.9,0.798,6.0,4.8,17.4,3.0,Vegetative,Deficient,Balanced,23.53,0.0
63.1,15.2,0.608,6.4,9.0,3.6,5.4,Vegetative,Deficient,Deficient,23.37,1.949
76.6,25.9,0.462,4.5,9.6,16.2,4.2,Vegetative,Deficient,Balanced,2.109,0.0
62.8,17.3,0.285,5.7,7.2,3.6,3.0,Vegetative,Deficient,Deficient,19.655,1.341
59.4,24.1,0.482,7.4,6.0,7.8,3.0,Vegetative,Deficient,Balanced,12.966,0.0
64.4,25.0,0.738,3.9,28.2,4.8,4.2,Vegetative,Balanced,Balanced,0.0,0.0
48.2,18.5,0.302,6.5,0.6,2.4,1.8,Vegetative,Deficient,Deficient,36.508,7.03
69.8,27.3,0.288,3.8,4.8,6.0,4.2,Vegetative,Deficient,Balanced,0.372,0.0
46.5,28.0,0.991,3.2,13.8,15.0,0.6,Vegetative,Deficient,Balanced,0.018,0.0
63.7,26.4,0.167,8.0,17.4,4.8,5.4,Vegetative,Deficient,Balanced,1.579,0.0
80.7,28.3,0.186,7.6,3.0,7.2,1.8,Vegetative,Deficient,Balanced,10.847,0.0
45.5,19.4,0.626,5.7,1.2,9.6,3.0,Vegetative,Deficient,Balanced,23.034,0.0
49.1,17.0,0.765,9.0,19.8,7.8,3.6,Vegetative,Deficient,Balanced,0.016,0.0
71.7,20.1,0.965,5.6,1.2,10.8,2.4,Vegetative,Deficient,Balanced,17.81,0.0
56.7,14.9,0.851,6.5,25.2,1.2,1.2,Vegetative,Balanced,Deficient,0.0,9.542
63.8,24.4,0.05,7.4,21.0,6.6,2.4,Vegetative,Deficient,Balanced,4.63,0.0
79.5,19.3,0.011,7.6,3.6,12.0,1.2,Vegetative,Deficient,Balanced,11.133,0.0
54.0,19.6,0.044,5.4,27.6,7.2,0.6,Vegetative,Deficient,Balanced,0.112,0.0
47.9,18.6,0.791,5.9,14.4,17.4,4.2,Vegetative,Deficient,Balanced,12.829,0.0
75.4,15.1,0.697,8.3,12.0,3.0,1.2,Vegetative,Deficient,Deficient,0.591,0.316
59.3,16.1,0.687,7.7,8.4,12.6,2.4,Vegetative,Deficient,Balanced,5.59,0.0
80.5,18.4,0.07,7.5,11.4,10.8,3.0,Vegetative,Deficient,Balanced,9.187,0.0
77.3,22.3,0.283,8.5,10.2,0.6,0.0,Vegetative,Deficient,Deficient,0.172,0.631
75.4,17.1,0.996,4.3,21.6,15.6,4.2,Vegetative,Deficient,Balanced,0.338,0.0
78.9,22.4,0.63,4.6,16.2,8.4,0.6,Vegetative,Deficient,Balanced,1.599,0.0
47.9,20.1,0.683,6.7,4.8,7.8,3.0,Vegetative,Deficient,Balanced,27.712,0.0
53.4,18.9,0.001,8.2,0.6,17.4,5.4,Vegetative,Deficient,Balanced,2.26,0.0
54.9,22.9,0.617,5.5,6.0,7.8,0.0,Vegetative,Deficient,Balanced,15.165,0.0
76.2,28.3,0.481,5.3,27.6,7.2,5.4,Vegetative,Deficient,Balanced,0.084,0.0
75.5,16.4,0.176,8.6,25.2,3.0,4.8,Vegetative,Balanced,Deficient,0.0,0.153
60.9,24.3,0.93,3.2,12.0,5.4,3.6,Vegetative,Deficient,Balanced,0.021,0.0
66.7,27.7,0.237,3.1,22.8,4.8,4.2,Vegetative,Deficient,Balanced,0.006,0.0
58.4,28.3,0.175,7.9,11.4,14.4,3.6,Vegetative,Deficient,Balanced,3.345,0.0
47.8,26.3,0.77,4.9,25.8,13.8,3.0,Vegetative,Deficient,Balanced,0.486,0.0
51.9,27.8,0.674,3.4,13.8,1.2,3.0,Vegetative,Deficient,Deficient,0.044,0.006
49.7,27.9,0.552,5.0,0.6,16.2,2.4,Flowering,Deficient,Balanced,5.176,0.0
54.0,25.0,0.131,6.7,21.6,5.4,5.4,Flowering,Balanced,Balanced,0.0,0.0
61.2,16.8,0.004,4.4,17.4,17.4,5.4,Flowering,Balanced,Balanced,0.0,0.0
54.5,15.3,0.684,6.6,9.0,7.8,2.4,Flowering,Deficient,Balanced,9.023,0.0
75.6,15.5,0.448,3.3,6.6,10.8,1.8,Flowering,Deficient,Balanced,0.024,0.0
73.1,26.6,0.223,6.1,15.0,9.0,0.0,Flowering,Deficient,Balanced,1.686,0.0
79.8,18.3,0.026,3.9,7.2,6.0,1.2,Flowering,Deficient,Balanced,0.22,0.0
68.5,22.2,0.161,8.2,6.6,15.6,1.8,Flowering,Deficient,Balanced,0.767,0.0
49.8,17.4,0.819,3.3,10.8,8.4,1.2,Flowering,Deficient,Balanced,0.012,0.0
60.3,25.3,0.732,8.4,27.0,6.0,0.6,Flowering,Balanced,Balanced,0.0,0.0
78.2,16.5,0.147,6.7,26.4,0.6,4.8,Flowering,Balanced,Deficient,0.0,14.532
47.4,18.8,0.266,6.4,10.2,10.8,4.8,Flowering,Deficient,Balanced,8.832,0.0
61.5,24.3,0.069,7.2,2.4,9.0,0.6,Flowering,Deficient,Balanced,13.099,0.0
49.7,20.0,0.304,3.8,26.4,7.8,1.8,Flowering,Balanced,Balanced,0.0,0.0
56.5,15.6,0.708,7.8,3.0,1.8,1.2,Flowering,Deficient,Deficient,2.046,2.163
68.5,15.1,0.304,5.7,27.6,17.4,5.4,Flowering,Balanced,Balanced,0.0,0.0
56.5,20.4,0.332,5.2,5.4,4.2,5.4,Flowering,Deficient,Balanced,5.494,0.0
79.1,24.2,0.365,4.2,9.0,15.0,3.0,Flowering,Deficient,Balanced,0.393,0.0
74.7,20.4,0.741,5.4,16.2,16.8,0.6,Flowering,Deficient,Balanced,0.029,0.0
47.8,16.9,0.895,3.0,27.6,14.4,4.2,Flowering,Balanced,Balanced,0.0,0.0
52.5,23.4,0.181,5.8,29.4,17.4,1.2,Flowering,Balanced,Balanced,0.0,0.0
62.2,22.9,0.761,5.0,27.6,11.4,4.8,Flowering,Balanced,Balanced,0.0,0.0
54.0,24.6,0.8,4.0,19.2,13.8,1.2,Flowering,Balanced,Balanced,0.0,0.0
